10,40.0952380952,2866446,40.619047619
15,36.2857142857,2771710,37.619047619
20,29.4285714286,3086360,29.2380952381
25,25.619047619,3012022,28.1904761905
30,24.5238095238,2856526,26.6666666667
35,23.4285714286,2994600,25.0476190476
40,21.1428571429,3041658,22.7142857143
45,23.3333333333,2804508,25.6666666667
50,22.380952381,2859254,25.9523809524
55,21.0476190476,3086422,23.619047619
60,19.1904761905,2960686,21.9047619048
65,21.2857142857,2500026,23.9523809524
70,23.0476190476,2735936,25.9047619048
75,22.5714285714,3015866,24.2380952381
80,18.7619047619,2973644,21.619047619
85,19.3333333333,2964654,22.2380952381
90,20.2380952381,2983378,22.0
95,19.6666666667,2783676,22.0476190476
100,19.380952381,3041410,21.2857142857
105,18.2857142857,3093428,22.6666666667
110,17.4285714286,2996212,21.6666666667
115,18.8095238095,2636240,22.3333333333
