10,13.8953488372,11000114,14.1162790698
15,21.3372093023,4665578,21.476744186
20,12.1976744186,10970045,12.2674418605
25,12.7906976744,11938935,13.476744186
30,14.3372093023,12499966,14.5
35,17.0697674419,4674059,17.2558139535
40,12.2906976744,10804023,12.5581395349
45,16.1395348837,11527992,15.8604651163
50,12.8372093023,9724880,12.7209302326
55,18.2209302326,12248620,18.4302325581
60,16.8023255814,3622672,16.8837209302
65,17.2674418605,12847944,18.0
70,14.5465116279,10111922,14.8837209302
75,14.9651162791,10461185,15.2674418605
80,15.523255814,9155625,15.9418604651
85,13.0465116279,6886829,13.1976744186
90,18.5697674419,12837921,18.5697674419
95,13.9302325581,6256922,13.9302325581
100,16.8372093023,11303117,16.9186046512
