10,24.4761904762,3090886,26.0952380952
15,25.9523809524,3017292,26.7142857143
20,25.2380952381,3070798,25.7142857143
25,24.4285714286,2463756,27.1904761905
30,19.619047619,2908544,20.7619047619
35,21.7142857143,2965894,23.9047619048
40,21.8095238095,2575728,25.3333333333
45,18.2380952381,2853922,21.380952381
50,17.8571428571,2753916,20.9523809524
55,21.1904761905,3050400,24.9523809524
60,21.5714285714,2665628,23.619047619
65,18.4761904762,2928198,21.5714285714
70,21.0,3023058,22.9523809524
75,19.0,2998072,22.1428571429
80,20.0476190476,3027894,21.8095238095
85,19.1428571429,2910466,20.619047619
90,18.619047619,2916294,20.4761904762
95,17.4761904762,3078920,20.7142857143
100,18.9523809524,3020206,22.619047619
