10,9.77906976744,12109069,10.4069767442
15,10.3837209302,12710706,10.7674418605
20,9.3488372093,12803997,9.83720930233
25,8.51162790698,11156884,8.86046511628
30,10.2790697674,9573250,10.6395348837
35,9.75581395349,8731832,10.3604651163
40,8.96511627907,12662390,9.1511627907
45,11.5697674419,9407228,11.2674418605
50,8.58139534884,11123988,8.81395348837
55,7.77906976744,11672940,7.8023255814
60,8.16279069767,10480460,8.3023255814
65,8.95348837209,11759292,9.10465116279
70,8.43023255814,12358873,8.79069767442
75,10.5697674419,12011409,11.2558139535
80,8.6511627907,12497910,9.46511627907
85,9.37209302326,12468355,9.55813953488
90,10.1976744186,5943639,10.2558139535
95,7.81395348837,11129642,7.8488372093
