10,7.45454545455,1867378,8.7619047619
15,5.36363636364,2333494,6.0
20,5.0,2886162,5.71428571429
25,5.18181818182,2248678,6.0
30,5.90909090909,2073714,5.52380952381
35,5.81818181818,1778346,5.04761904762
40,4.81818181818,1584162,5.52380952381
45,5.27272727273,3071046,5.61904761905
50,4.63636363636,2403368,5.80952380952
55,5.09090909091,2305470,5.2380952381
60,5.18181818182,2758628,6.0
65,5.72727272727,3070178,5.04761904762
70,5.36363636364,2795952,4.57142857143
75,6.90909090909,2909350,4.85714285714
80,6.0,2450116,4.85714285714
85,5.63636363636,2854232,6.09523809524
90,4.90909090909,1809718,4.85714285714
95,6.27272727273,2680136,5.71428571429
