10,39.5714285714,2519556,40.9047619048
15,30.4761904762,2947046,32.2380952381
20,31.619047619,3056972,33.1428571429
25,24.380952381,2756396,25.619047619
30,25.9523809524,2738416,28.4761904762
35,24.2857142857,3093428,26.2380952381
40,23.4761904762,2974512,26.0
45,24.380952381,2892362,26.0
50,21.8571428571,3086050,23.1428571429
55,22.0,2691296,24.9523809524
60,20.4761904762,2947356,22.7142857143
65,19.3333333333,3091382,22.7142857143
70,21.2857142857,3077990,23.619047619
75,20.6666666667,3028514,23.9047619048
80,21.6666666667,3099938,23.0952380952
85,18.8095238095,3048664,21.619047619
90,19.3333333333,3095288,21.9523809524
95,18.5714285714,3028390,21.5238095238
