10,6.27272727273,1689066,7.2380952381
15,6.45454545455,1737550,7.90476190476
20,6.09090909091,1590052,6.95238095238
25,7.0,1006632,7.04761904762
30,7.0,1025852,7.33333333333
35,6.45454545455,973214,6.95238095238
40,7.18181818182,957528,7.90476190476
45,6.45454545455,687022,8.57142857143
50,7.0,822616,7.71428571429
55,7.0,3001916,6.47619047619
60,6.72727272727,1256926,6.7619047619
65,6.81818181818,2300200,6.0
70,6.63636363636,1665010,5.71428571429
75,6.54545454545,717588,6.47619047619
80,6.90909090909,1049970,6.38095238095
85,6.72727272727,1152332,7.33333333333
90,6.81818181818,2812010,6.09523809524
